causing_node,caused_node,f_stat,p_value,significant_p05,p_value_fdr,significant_fdr,p_bonferroni,significant_bonferroni,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength,source_table,node_i,node_j,peak_lag_steps,peak_corr,significant_p01,event_id,feature_col,grid_seconds,peak_lag_seconds,event_phase,source_node_id,target_node_id,source_feature,n_events,mean_baseline,mean_response,mean_diff,pct_change,te_i_to_j,p_value_block,p_value_block_fdr,significant_block_fdr,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows,method,fevd_share,horizon,edge_pair,is_self_loop
,,,0.0,,0.0,true,,,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests_busd_2023.csv,busd_binance,curve_3pool,-1,0.912212852440009,true,busd_2023,,,,,,,,,,,,,,,,,,,,,,,,busd_binance ↔ curve_3pool,false
,,,0.0,,0.0,true,,,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_leadlag_tests_busd_2023.csv,curve_3pool,busd_binance,1,0.912212852440009,true,busd_2023,,,,,,,,,,,,,,,,,,,,,,,,curve_3pool ↔ busd_binance,false
,,,0.0,,0.0,true,,,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests_ftx_2022.csv,busd_binance,curve_3pool,-1,-0.6878269828110009,true,ftx_2022,,,,,,,,,,,,,,,,,,,,,,,,busd_binance ↔ curve_3pool,false
,,,0.0,,0.0,true,,,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_leadlag_tests_ftx_2022.csv,curve_3pool,busd_binance,1,-0.6878269828110009,true,ftx_2022,,,,,,,,,,,,,,,,,,,,,,,,curve_3pool ↔ busd_binance,false
,,,0.0,,0.0,true,,,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_coinbase to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests_usdc_svb_2023.csv,usdc_coinbase,curve_3pool,0,-0.7177701570441987,true,usdc_svb_2023,,,,,,,,,,,,,,,,,,,,,,,,usdc_coinbase ↔ curve_3pool,false
,,,0.0,,0.0,true,,,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.,B,true,true,true,statistically_supported,table_leadlag_tests_usdc_svb_2023.csv,curve_3pool,usdc_coinbase,0,-0.7177701570441987,true,usdc_svb_2023,,,,,,,,,,,,,,,,,,,,,,,,curve_3pool ↔ usdc_coinbase,false
,,,0.0,true,0.0,true,0.0,true,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy_busd_2023.csv,usdc_binance,curve_3pool,,,,busd_2023,,,,,,,,,,,,,0.6585480765761742,0.015,0.12,false,,,,,,,,usdc_binance ↔ curve_3pool,false
,,,0.0,true,0.0,true,0.0,true,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy_busd_2023.csv,usdt_binance,curve_3pool,,,,busd_2023,,,,,,,,,,,,,0.6585480765761742,0.02,0.12,false,,,,,,,,usdt_binance ↔ curve_3pool,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_busd_2023.csv,curve_3pool,usdc_binance,,,,busd_2023,,,,,,,,,,,,,0.2662427267003824,0.745,1.0,false,,,,,,,,curve_3pool ↔ usdc_binance,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_busd_2023.csv,curve_3pool,usdt_binance,,,,busd_2023,,,,,,,,,,,,,0.2662427267003824,0.75,1.0,false,,,,,,,,curve_3pool ↔ usdt_binance,false
,,,0.005,true,0.006666666666666666,true,0.06,false,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_busd_2023.csv,curve_3pool,busd_binance,,,,busd_2023,,,,,,,,,,,,,0.012612688241881505,0.855,1.0,false,,,,,,,,curve_3pool ↔ busd_binance,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_ftx_2022.csv,curve_3pool,usdt_binance,,,,ftx_2022,,,,,,,,,,,,,0.4019963945781472,0.95,1.0,false,,,,,,,,curve_3pool ↔ usdt_binance,false
,,,0.0,true,0.0,true,0.0,true,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy_ftx_2022.csv,usdt_binance,curve_3pool,,,,ftx_2022,,,,,,,,,,,,,0.3989481367860148,0.835,1.0,false,,,,,,,,usdt_binance ↔ curve_3pool,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_ftx_2022.csv,curve_3pool,busd_binance,,,,ftx_2022,,,,,,,,,,,,,0.08285238836678999,0.275,0.55,false,,,,,,,,curve_3pool ↔ busd_binance,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to ust_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_terra_luna_2022.csv,curve_ust_wormhole,ust_binance,,,,terra_luna_2022,,,,,,,,,,,,,0.3804870973075759,0.34,0.68,false,,,,,,,,curve_ust_wormhole ↔ ust_binance,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_terra_luna_2022.csv,curve_ust_wormhole,usdt_binance,,,,terra_luna_2022,,,,,,,,,,,,,0.2583100464183655,0.15,0.6,false,,,,,,,,curve_ust_wormhole ↔ usdt_binance,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to ust_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_terra_luna_2022.csv,curve_3pool,ust_binance,,,,terra_luna_2022,,,,,,,,,,,,,0.14430454925944136,0.755,1.0,false,,,,,,,,curve_3pool ↔ ust_binance,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_terra_luna_2022.csv,curve_3pool,usdt_binance,,,,terra_luna_2022,,,,,,,,,,,,,0.05977840720999535,0.02,0.12,false,,,,,,,,curve_3pool ↔ usdt_binance,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.,B,true,true,true,statistically_supported,table_transfer_entropy_usdc_svb_2023.csv,curve_3pool,usdc_coinbase,,,,usdc_svb_2023,,,,,,,,,,,,,0.6854336939516794,0.005,0.02,true,,,,,,,,curve_3pool ↔ usdc_coinbase,false
,,,0.0,true,0.0,true,0.0,true,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_coinbase to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy_usdc_svb_2023.csv,usdc_coinbase,curve_3pool,,,,usdc_svb_2023,,,,,,,,,,,,,0.6014453148640833,0.065,0.195,false,,,,,,,,usdc_coinbase ↔ curve_3pool,false
,,,0.0,true,0.0,true,0.0,true,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy_usdt_curve_2023.csv,curve_3pool,usdt_binance,,,,usdt_curve_2023,,,,,,,,,,,,,0.09338308727440564,0.62,1.0,false,,,,,,,,curve_3pool ↔ usdt_binance,false
