node_i,node_j,peak_lag_steps,peak_corr,p_value,significant_p01,p_value_fdr,significant_fdr,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength,method,feature_col,grid_seconds,peak_lag_seconds,p_bonferroni,significant_bonferroni,event_phase,te_i_to_j,p_value_block,significant_p05,p_value_block_fdr,significant_block_fdr
usdc_coinbase,usdc_binance,-60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdc_coinbase,usdt_binance,-60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdc_coinbase,curve_3pool,0,-0.7177701570441987,0.0,true,0.0,true,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_coinbase to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdc_binance,usdc_coinbase,60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_coinbase (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdc_binance,usdt_binance,0,1.0,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdt_binance,usdc_coinbase,60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_coinbase (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdt_binance,usdc_binance,0,1.0,0.0,true,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
curve_3pool,usdc_coinbase,0,-0.7177701570441987,0.0,true,0.0,true,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
curve_3pool,curve_crvusd_usdt,0,0.38573739685614267,0.007,true,0.007,true,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,A,true,true,true,robust,table_leadlag_tests,usdc_net_sold_1h,3600,0,0.014,true,all,,,,,
curve_crvusd_usdt,curve_3pool,0,0.3857373968561426,0.0,true,0.0,true,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,A,true,true,true,robust,table_leadlag_tests,usdc_net_sold_1h,3600,0,0.0,true,all,,,,,
usdt_binance,busd_binance,60,-0.4528405507372991,0.0,true,0.0,true,ftx_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
busd_binance,usdt_binance,-60,-0.4528405507372991,0.0,true,0.0,true,ftx_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
busd_binance,curve_3pool,-1,-0.6878269828110009,0.0,true,0.0,true,ftx_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
curve_3pool,busd_binance,1,-0.6878269828110009,0.0,true,0.0,true,ftx_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
busd_binance,curve_3pool,-1,0.912212852440009,0.0,true,0.0,true,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
curve_3pool,busd_binance,1,0.912212852440009,0.0,true,0.0,true,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_leadlag_tests,,,,,,,,,,,
curve_3pool,usdc_coinbase,,,0.0,,0.0,true,usdc_svb_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.6854336939516794,0.005,true,0.02,true
usdc_coinbase,curve_3pool,,,0.0,,0.0,true,usdc_svb_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_coinbase to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.6014453148640833,0.065,true,0.195,false
usdc_binance,usdc_coinbase,,,0.0,,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_coinbase (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.0666451007861315,0.005,true,0.02,true
usdt_binance,usdc_coinbase,,,0.0,,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_coinbase (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.0666451007861315,0.005,true,0.02,true
usdc_coinbase,usdc_binance,,,0.0,,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.04372355221789026,0.65,true,1.0,false
usdc_coinbase,usdt_binance,,,0.0,,0.0,true,usdc_svb_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_coinbase and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.04372355221789026,0.68,true,1.0,false
curve_ust_wormhole,ust_binance,,,0.0,,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to ust_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.3804870973075759,0.34,true,0.68,false
curve_ust_wormhole,usdt_binance,,,0.0,,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.2583100464183655,0.15,true,0.6,false
curve_3pool,ust_binance,,,0.0,,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to ust_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.14430454925944136,0.755,true,1.0,false
curve_3pool,usdt_binance,,,0.0,,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.05977840720999535,0.02,true,0.12,false
ust_binance,usdt_binance,,,0.0,,0.0,true,terra_luna_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between ust_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.016899583833956927,0.01,true,0.12,false
usdt_binance,ust_binance,,,0.0,,0.0,true,terra_luna_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and ust_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.01624427602650419,1.0,true,1.0,false
curve_3pool,usdt_binance,,,0.0,,0.0,true,usdt_curve_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.09338308727440564,0.62,true,1.0,false
curve_3pool,usdt_binance,,,0.0,,0.0,true,ftx_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.4019963945781472,0.95,true,1.0,false
usdt_binance,curve_3pool,,,0.0,,0.0,true,ftx_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.3989481367860148,0.835,true,1.0,false
curve_3pool,busd_binance,,,0.0,,0.0,true,ftx_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.08285238836678999,0.275,true,0.55,false
busd_binance,usdt_binance,,,0.0,,0.0,true,ftx_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.034495181249955265,0.0,true,0.0,true
usdt_binance,busd_binance,,,0.0,,0.0,true,ftx_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.020888768332277652,0.0,true,0.0,true
usdc_binance,curve_3pool,,,0.0,,0.0,true,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.6585480765761742,0.015,true,0.12,false
usdt_binance,curve_3pool,,,0.0,,0.0,true,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.6585480765761742,0.02,true,0.12,false
curve_3pool,usdc_binance,,,0.0,,0.0,true,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.2662427267003824,0.745,true,1.0,false
curve_3pool,usdt_binance,,,0.0,,0.0,true,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.2662427267003824,0.75,true,1.0,false
busd_binance,usdc_binance,,,0.0,,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.03963917154438601,0.98,true,1.0,false
busd_binance,usdt_binance,,,0.0,,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.03963917154438601,0.995,true,1.0,false
curve_3pool,busd_binance,,,0.005,,0.006666666666666666,true,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.06,false,,0.012612688241881505,0.855,true,1.0,false
usdc_binance,busd_binance,,,0.0,,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.011670578222928628,0.47,true,1.0,false
usdt_binance,busd_binance,,,0.0,,0.0,true,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,true,true,statistically_supported,table_transfer_entropy,,,,0.0,true,,0.011670578222928628,0.47,true,1.0,false
