event_id,node_id,source_tier_nominal,source_tier_actual,sources,rows_available,start_utc,end_utc,artefact_count,coverage_pct,sequence_gap_count,gap_rate,resync_count,clock_offset_ms,empirical_node
busd_2023,__event_panel__,mixed,mixed,gold_panel_builder,59664,2023-02-06T00:00:00Z,2023-03-13T23:59:59Z,1,,0,,0,,true
busd_2023,busd_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,103680,2023-02-06T00:00:00Z,2023-03-13T23:59:59Z,2,99.99810317384026,0,,0,,true
busd_2023,curve_3pool,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-02-06T00:00:00Z,2023-03-13T23:59:59Z,2,8.332532334372436,0,,0,,false
busd_2023,usdc_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,6960,2023-02-06T00:00:00Z,2023-03-13T23:59:59Z,2,6.712835629725388,0,,0,,true
busd_2023,usdt_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,6960,2023-02-06T00:00:00Z,2023-03-13T23:59:59Z,2,6.712835629725388,0,,0,,true
ftx_2022,__event_panel__,mixed,mixed,gold_panel_builder,87480,2022-11-01T00:00:00Z,2022-11-30T23:59:59Z,1,,0,,0,,true
ftx_2022,busd_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,86400,2022-11-01T00:00:00Z,2022-11-30T23:59:59Z,2,99.99772381724337,0,,0,,true
ftx_2022,curve_3pool,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2022-11-01T00:00:00Z,2022-11-30T23:59:59Z,2,9.998846583669554,0,,0,,false
ftx_2022,eth_bridge_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2022-11-01T00:00:00Z,2022-11-30T23:59:59Z,2,9.986134221811612,0,,0,,false
ftx_2022,eth_usdc_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2022-11-01T00:00:00Z,2022-11-30T23:59:59Z,2,9.986134221811612,0,,0,,false
ftx_2022,eth_usdt_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2022-11-01T00:00:00Z,2022-11-30T23:59:59Z,2,9.986134221811612,0,,0,,false
ftx_2022,usdt_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,86400,2022-11-01T00:00:00Z,2022-11-30T23:59:59Z,2,99.99772381724337,0,,0,,true
terra_luna_2022,__event_panel__,mixed,mixed,gold_panel_builder,63698,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,1,,0,,0,,true
terra_luna_2022,curve_3pool,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,2,9.676339148220835,0,,0,,false
terra_luna_2022,curve_ust_wormhole,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,2,9.676339148220835,0,,0,,false
terra_luna_2022,usdt_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,89280,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,2,99.9977972408762,0,,0,,true
terra_luna_2022,ust_binance,B,B,real_Binance_tier_B;silver_reconstruction_from_books,34660,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,2,38.82082943961435,0,,0,,true
usdc_svb_2023,__event_panel__,mixed,mixed,gold_panel_builder,49581,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,1,,0,,0,,true
usdc_svb_2023,curve_3pool,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.07078154942728,0,,0,,false
usdc_svb_2023,eth_bridge_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.003215302817985,0,,0,,false
usdc_svb_2023,eth_usdc_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.003215302817985,0,,0,,false
usdc_svb_2023,eth_usdt_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.003215302817985,0,,0,,false
usdc_svb_2023,uniswap_usdc_usdt_005,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.07078154942728,0,,0,,false
usdc_svb_2023,usdc_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,27120,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,72.43209268743897,0,,0,,true
usdc_svb_2023,usdc_coinbase,A,B,real_Coinbase_tier_B;silver_reconstruction_from_books,37434,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,99.97872262763975,0,,0,,true
usdc_svb_2023,usdc_kraken,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_books,1728,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.07078154942728,0,,0,,false
usdc_svb_2023,usdc_mint_burn,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.003215302817985,0,,0,,false
usdc_svb_2023,usdt_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,27120,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,72.43209268743897,0,,0,,true
usdc_svb_2023,usdt_kraken,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_books,1728,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.07078154942728,0,,0,,false
usdt_curve_2023,__event_panel__,mixed,mixed,gold_panel_builder,26712,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,1,,0,,0,,true
usdt_curve_2023,curve_3pool,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,curve_crvusd_usdt,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,eth_usdt_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.701312194308944,0,,0,,false
usdt_curve_2023,tron_usdt_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.701312194308944,0,,0,,false
usdt_curve_2023,uniswap_usdc_usdt_005,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,usdt_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,46080,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,99.99573224233052,0,,0,,true
usdt_curve_2023,usdt_kraken,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_books,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,usdt_mint_burn,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.701312194308944,0,,0,,false
