window_center,caused_node,causing_node,fevd_share,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength
2347200.0,usdc_binance,usdc_binance,0.047686960716091326,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,usdc_binance,usdt_binance,0.0476869607160939,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,usdc_binance,busd_binance,0.8663869674840157,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,usdc_binance,curve_3pool,0.0382391110837066,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive
2347200.0,usdt_binance,usdc_binance,0.04768696071609145,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,usdt_binance,usdt_binance,0.04768696071609366,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,usdt_binance,busd_binance,0.8663869674840159,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,usdt_binance,curve_3pool,0.038239111083706534,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive
2347200.0,busd_binance,usdc_binance,0.06914292566932488,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,busd_binance,usdt_binance,0.06914292566933088,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,busd_binance,busd_binance,0.8472444830799626,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2347200.0,busd_binance,curve_3pool,0.014469665580696603,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,false,false,suggestive
2347200.0,curve_3pool,usdc_binance,0.040589420316040285,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive
2347200.0,curve_3pool,usdt_binance,0.04058942031603851,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive
2347200.0,curve_3pool,busd_binance,0.9010889179996379,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,false,false,suggestive
2347200.0,curve_3pool,curve_3pool,0.017732241368270604,tvp_var_rolling,busd_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,B,true,false,false,suggestive
2372400.0,usdc_binance,usdc_binance,0.1051468574537156,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,usdc_binance,usdt_binance,0.10514685745371521,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,usdc_binance,busd_binance,0.7276168790246048,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,usdc_binance,curve_3pool,0.06208940606786604,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive
2372400.0,usdt_binance,usdc_binance,0.1051468574537154,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,usdt_binance,usdt_binance,0.10514685745371516,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,usdt_binance,busd_binance,0.7276168790246051,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,usdt_binance,curve_3pool,0.06208940606786586,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive
2372400.0,busd_binance,usdc_binance,0.017198200003367664,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,busd_binance,usdt_binance,0.01719820000336462,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,busd_binance,busd_binance,0.9439833975396226,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2372400.0,busd_binance,curve_3pool,0.02162020245335381,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,false,false,suggestive
2372400.0,curve_3pool,usdc_binance,0.024970826177683387,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive
2372400.0,curve_3pool,usdt_binance,0.024970826177685444,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive
2372400.0,curve_3pool,busd_binance,0.9220677590109148,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,false,false,suggestive
2372400.0,curve_3pool,curve_3pool,0.027990588633687922,tvp_var_rolling,busd_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,B,true,false,false,suggestive
2397600.0,usdc_binance,usdc_binance,0.1972808499130319,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,usdc_binance,usdt_binance,0.19728084991303155,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,usdc_binance,busd_binance,0.5090420364221288,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,usdc_binance,curve_3pool,0.09639626375164816,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive
2397600.0,usdt_binance,usdc_binance,0.1972808499130319,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,usdt_binance,usdt_binance,0.19728084991303155,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,usdt_binance,busd_binance,0.5090420364221288,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,usdt_binance,curve_3pool,0.09639626375164816,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive
2397600.0,busd_binance,usdc_binance,0.014732772742113983,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,busd_binance,usdt_binance,0.014732772742101377,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,busd_binance,busd_binance,0.9456295857657285,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2397600.0,busd_binance,curve_3pool,0.02490486874975198,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,false,false,suggestive
2397600.0,curve_3pool,usdc_binance,0.08788037508777799,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive
2397600.0,curve_3pool,usdt_binance,0.08788037508778557,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive
2397600.0,curve_3pool,busd_binance,0.7056961791925547,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,false,false,suggestive
2397600.0,curve_3pool,curve_3pool,0.11854307063182562,tvp_var_rolling,busd_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,B,true,false,false,suggestive
2422800.0,usdc_binance,usdc_binance,0.0994123204868643,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,usdc_binance,usdt_binance,0.099412320486871,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,usdc_binance,busd_binance,0.7346944415031019,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,usdc_binance,curve_3pool,0.06648091752304029,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive
2422800.0,usdt_binance,usdc_binance,0.0994123204868643,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,usdt_binance,usdt_binance,0.099412320486871,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,usdt_binance,busd_binance,0.7346944415031019,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,usdt_binance,curve_3pool,0.06648091752304029,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive
2422800.0,busd_binance,usdc_binance,0.054376365115617525,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,busd_binance,usdt_binance,0.054376365115626005,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,busd_binance,busd_binance,0.8729515875997955,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2422800.0,busd_binance,curve_3pool,0.01829568216857862,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,false,false,suggestive
2422800.0,curve_3pool,usdc_binance,0.14184804110925808,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive
2422800.0,curve_3pool,usdt_binance,0.14184804110925292,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive
2422800.0,curve_3pool,busd_binance,0.5384272485955375,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,false,false,suggestive
2422800.0,curve_3pool,curve_3pool,0.17787666918584594,tvp_var_rolling,busd_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,B,true,false,false,suggestive
2448000.0,usdc_binance,usdc_binance,0.130138115415743,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,usdc_binance,usdt_binance,0.13013811541574508,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,usdc_binance,busd_binance,0.6655650699761482,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdc_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,usdc_binance,curve_3pool,0.07415869919219341,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_binance.,B,true,false,false,suggestive
2448000.0,usdt_binance,usdc_binance,0.130138115415743,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,usdt_binance,usdt_binance,0.13013811541574508,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,usdt_binance,busd_binance,0.6655650699761482,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,usdt_binance,curve_3pool,0.07415869919219341,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive
2448000.0,busd_binance,usdc_binance,0.0749487568805865,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdc_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,busd_binance,usdt_binance,0.07494875688058865,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,busd_binance,busd_binance,0.828422922113759,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).,B,true,false,false,descriptive
2448000.0,busd_binance,curve_3pool,0.02167956412464408,tvp_var_rolling,busd_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to busd_binance.,B,true,false,false,suggestive
2448000.0,curve_3pool,usdc_binance,0.03728492541668431,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdc_binance to curve_3pool.,B,true,false,false,suggestive
2448000.0,curve_3pool,usdt_binance,0.037284925416687584,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive
2448000.0,curve_3pool,busd_binance,0.8903245885301423,tvp_var_rolling,busd_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from busd_binance to curve_3pool.,B,true,false,false,suggestive
2448000.0,curve_3pool,curve_3pool,0.03510556063643664,tvp_var_rolling,busd_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,B,true,false,false,suggestive
